"Dataset Name","Dataset Description","Source Website","Direct Download Link","Dataset URL","License","Number of Samples","Number of Features","File Format","Target Variable","Task Type","Machine Type","Industry","Sensor Types","Suitable ML Algorithms","Deep Learning Suitability","LLM Suitability","Time-Series Availability","Image Availability","Audio Availability","Video Availability","Recommended FactoryOS Module","Data Quality Score (/10)","Popularity Score (/10)","Production Readiness Score (/10)","Recommended Usage"
"CNC Mill Tool Wear (2018 PHM Challenge)","CNC milling machine sensor telemetry capturing cutter tool degradation across 18 machining runs.","PHM Society / Kaggle","https://www.kaggle.com/datasets/shayanfazeli/cnc-mill-tool-wear/download","https://www.kaggle.com/datasets/shayanfazeli/cnc-mill-tool-wear","Public Domain","18","48 (Multi-channel at 50 kHz)","CSV","Tool Condition (Unworn / Worn) & Wear Measurement","Regression & Classification","3-Axis CNC Milling Machine","Precision Machining & Aerospace Fabrication","3-Axis Force (Kistler), 3-Axis Accelerometer, Acoustic Emission","Random Forest, Gradient Boosting","High (1D-CNN, Bi-LSTM)","Low","Yes","No","No","No","Predictive Maintenance (CNC Machining)","9.1","9.0","8.8","Train CNC spindle force and acoustic emission tool wear estimation models."
"FEMTO-ST PRONOSTIA Bearing Dataset","Run-to-failure bearing vibration and temperature dataset under constant and speed/load transition profiles.","IEEE DataPort / FEMTO-ST","https://github.com/NervanaSystems/pronostia/archive/master.zip","https://github.com/NervanaSystems/pronostia","Open Data","17","3 (Vibration X, Vibration Y, Temp)","CSV","Remaining Useful Life (RUL) in seconds","Time-Series Regression","High-Speed Ball Bearings","Machining & Rotating Equipment","Horizontal Accelerometer, Vertical Accelerometer, Temperature Probe","Support Vector Regression, XGBoost","High (CNN-LSTM, Transformer RUL)","Low","Yes","No","No","No","Predictive Maintenance (RUL Forecasting)","9.2","9.1","9.0","Train high-accuracy bearing remaining useful life time-series regression algorithms."
"Severstal Steel Defect Detection","High-resolution images of steel strip surfaces containing 4 types of surface defects for automated quality inspection.","Kaggle (Severstal)","https://www.kaggle.com/c/severstal-steel-defect-detection/data","https://www.kaggle.com/c/severstal-steel-defect-detection","Kaggle Competition License","12568","4 Defect Types","PNG/RLE","Defect Mask & Class ID (1, 2, 3, 4)","Semantic Segmentation","Steel Strip Continuous Caster","Steel & Metallurgy","Optical Line-Scan Camera","N/A","High (U-Net, FPN, DeepLabV3+)","Low","No","Yes","No","No","Quality Control (AI Vision)","9.6","9.4","9.3","Train real-time semantic segmentation models for continuous steel strip defect identification."
"PKU PCB Defect Dataset","Synthesized PCB image dataset with 6 categories of severe manufacturing defects annotated for object detection.","Peking University / GitHub","https://github.com/shengur/PCB-DEFECT-DATASET/archive/master.zip","https://github.com/shengur/PCB-DEFECT-DATASET","Open Research","1386","6 Defect Types","JPG/XML","Defect Bounding Box (Missing Hole, Mouse Bite, Open, Short, Spur, Spurious Copper)","Object Detection","Automated Optical Inspection (AOI) Rig","Electronics & SMT Assembly","High-Resolution CCD Macro Camera","N/A","High (YOLOv7/v8, RT-DETR, RetinaNet)","Low","No","Yes","No","No","Quality Control (Electronics Assembly)","9.2","8.9","9.0","Train automated optical inspection (AOI) models for printed circuit board assembly lines."
"Hydraulic System Condition Monitoring","Condition monitoring telemetry from a hydraulic test rig measuring cooler, valve, internal leakage, and accumulator health.","UCI Machine Learning Repository","https://archive.ics.uci.edu/ml/machine-learning-databases/00368/data.zip","https://archive.ics.uci.edu/ml/datasets/Condition+monitoring+of+hydraulic+systems","CC BY 4.0","2205","17 Sensor Channels","TXT/CSV","Cooler Condition, Valve Condition, Internal Leakage, Accumulator Pressure","Multi-target Regression & Classification","Hydraulic Power Unit","Heavy Machinery & Automation","Pressure (6), Volume Flow (2), Temperature (4), Motor Power, Vibration","Random Forest, XGBoost, Extra Trees","High (Multi-Task MLP, CNN-LSTM)","Medium (Hydraulic Copilot)","Yes","No","No","No","Predictive Maintenance (Hydraulic Systems)","9.7","9.3","9.6","Train multi-component health score degradation models for industrial hydraulic power units."
"MetroPT 3-Air Compressor Dataset","High-frequency telemetry dataset from a train air compressor unit operating in real commercial transit services.","UCI Machine Learning Repository","https://archive.ics.uci.edu/ml/machine-learning-databases/00604/MetroPT3.zip","https://archive.ics.uci.edu/ml/datasets/MetroPT+3+Dataset","CC BY 4.0","15169480","15","CSV","Air Compressor Anomaly / Failure State","Time-Series Anomaly Detection","Industrial Air Compressor Unit","Transit & Industrial Pneumatics","Pressure, Temperature, Motor Current, Flow Rate, Vibration","Isolation Forest, LOF, XGBoost","High (LSTM-Autoencoder, TCN)","Low","Yes","No","No","No","Predictive Maintenance (Pumps & Compressors)","9.4","8.8","9.2","Benchmark high-frequency continuous streaming anomaly detection for heavy compressors."
"XJTU-SY Bearing Dataset","Complete run-to-failure bearing vibration dataset under 3 operating conditions with 15 tested rolling bearings.","Xi'an Jiaotong University / GitHub","https://github.com/yanyongjie/XJTU-SY_Bearing_Datasets","https://github.com/yanyongjie/XJTU-SY_Bearing_Datasets","Open Research","15","2 Channels at 25.6 kHz","CSV","Remaining Useful Life (RUL) & Failure Stage","Regression & Prognostics","Rolling Element Bearing Test Rig","Machining & Motor Drives","Horizontal & Vertical Accelerometer","XGBoost, Random Forest","High (ResNet1D, Attention-LSTM)","Low","Yes","No","No","No","Predictive Maintenance (Vibration Analysis)","9.6","9.2","9.4","Train deep learning models for bearing health index degradation and RUL estimation."
"SKAB (Skoltech Anomaly Benchmark)","Benchmark dataset with multi-sensor telemetry for evaluating time-series anomaly detection algorithms on a water circulation system.","GitHub / Kaggle","https://github.com/KDD-Group/SKAB/archive/refs/heads/main.zip","https://github.com/KDD-Group/SKAB","MIT License","35","8","CSV","Anomaly (0/1) & Change Point (0/1)","Anomaly Detection & Change Point Detection","Water Pumps & Piping System","Process Automation & Utilities","Pressure, Flow Rate, Temperature, Accelerometer, Current","Isolation Forest, SVM, Autoencoder","High (LSTM-AE, Conv-AE, Transformer-AE)","Low","Yes","No","No","No","Anomaly Detection & IIoT","9.3","8.9","9.1","Benchmark zero-shot real-time time-series anomaly detection algorithms for IIoT sensors."
"NASA SMAP & MSL Spacecraft Telemetry","Expert-labeled telemetry anomaly dataset from NASA Soil Moisture Active Passive (SMAP) and Curiosity rover (MSL).","NASA / GitHub","https://github.com/khundman/telemanom","https://github.com/khundman/telemanom","Open Source","560000","55","NPY/CSV","Telemetry Anomaly (Binary)","Time-Series Anomaly Detection","Spacecraft Sensor Systems","Aerospace & High-Reliability Automation","Radiation, Power, Temperature, Voltage, Current","Isolation Forest, XGBoost","High (LSTM-NDT, Telemanom)","Low","Yes","No","No","No","Anomaly Detection & Edge AI","9.1","9.2","8.9","Train multi-channel unsupervised multivariate time-series anomaly detectors."
"Secure Water Treatment (SWaT) Dataset","Full-scale industrial SCADA water treatment plant dataset with 51 sensors/actuators under 36 cyber-physical attack scenarios.","SUTD iTrust Labs","https://itrust.sutd.edu.sg/itrust-labs-datasets/dataset_info/","https://itrust.sutd.edu.sg/itrust-labs-datasets/dataset_info/","Educational/Research License","946722","51","CSV","Attack State / Anomaly Flag (0: Normal, 1: Attack)","Cyber-Physical Anomaly Detection","Water Treatment SCADA System","Water Utilities & Infrastructure","Flow Meters, Tank Level Sensors, Motorized Valves, Pumps","Random Forest, XGBoost, LightGBM","High (Graph Neural Nets, MAD-GAN, USAD)","Medium (SCADA Copilot)","Yes","No","No","No","SCADA & Digital Twin Security","9.7","9.5","9.6","Train SCADA attack resilience, PLC state anomaly, and multi-stage digital twin failure propagation models."
"Water Distribution (WADI) Testbed","Extension of SWaT featuring 127 sensor/actuator tags operating continuously over 16 days under cyber-physical anomalies.","SUTD iTrust Labs","https://itrust.sutd.edu.sg/itrust-labs-datasets/dataset_info/","https://itrust.sutd.edu.sg/itrust-labs-datasets/dataset_info/","Educational/Research License","1209601","127","CSV","Anomaly State (0: Normal, 1: Attack)","Multi-variate Anomaly Detection","City Water Distribution Network","Municipal & Industrial Water Systems","Flow Rate, Pressure, Level, Chemical Dosing, Valve State","Random Forest, LightGBM","High (Graph Convolutional Nets, GDN)","Medium (Digital Twin Copilot)","Yes","No","No","No","SCADA & Digital Twin Engine","9.5","9.1","9.4","Train high-scale sensor-actuator topology graph neural networks for digital twin monitoring."
"Smart Factory Energy Consumption (OpenML 42732)","Year-long 15-minute resolution power consumption telemetry from an industrial manufacturing facility.","OpenML","https://openml.org/d/42732","https://openml.org/d/42732","Public Domain","52416","12","CSV","Active Power Consumption (kW)","Time-Series Forecasting & Optimization","Factory Power Substation","General Manufacturing & Energy Management","Active Power, Reactive Power, Voltage, Current, Power Factor","Prophet, XGBoost, LightGBM","High (N-BEATS, Temporal Fusion Transformer)","Low","Yes","No","No","No","Energy & Sustainability Optimization","9.2","8.6","9.0","Train factory power demand forecasting and peak-shaving optimization models."
"3D Printer Process Parameter Telemetry","Experimental additive manufacturing dataset mapping 3D printing parameter variations to power and surface roughness.","Kaggle","https://www.kaggle.com/datasets/aslanahmedov/3dprinter/download","https://www.kaggle.com/datasets/aslanahmedov/3dprinter","CC0 Public Domain","50","12","CSV","Roughness & Power Consumption (W)","Regression & Optimization","FDM 3D Printer","Additive Manufacturing","Nozzle Temp, Bed Temp, Print Speed, Fan Speed, Material Load","Random Forest, SVR, Ridge","Medium (MLP)","Low","No","No","No","No","Production Optimization Engine","8.4","8.2","8.0","Train process parameter optimization and power consumption surrogate models."
"Steel Plates Faults (UCI)","Dataset detailing 7 types of geometric and luminance surface faults in steel plate manufacturing.","UCI Machine Learning Repository","https://archive.ics.uci.edu/ml/machine-learning-databases/00198/Faults.NNet","https://archive.ics.uci.edu/ml/datasets/Steel+Plates+Faults","CC BY 4.0","1941","27","CSV","Fault Class (Pastry, Z_Scratch, K_Scatch, Stains, Dirtiness, Bumps, Other)","Multi-class Classification","Steel Rolling Mill","Steel & Heavy Industry","Luminance, Thickness, Width, X/Y Coordinates, Edges","XGBoost, Random Forest, LightGBM","High (TabNet, Deep Tabular)","Low","No","No","No","No","Quality Control (Steel Inspection)","9.0","9.1","9.2","Train multi-class surface defect classification on structured geometric feature extractions."
"Case Study Work Order Maintenance Logs","Industrial maintenance work order narrative logs paired with machine downtime durations and repair costs.","Zenodo / GitHub","https://zenodo.org/record/4765922","https://zenodo.org/record/4765922","MIT License","14500","8","CSV/JSON","Downtime Duration & Repair Cost ($)","Text Mining & Regression","Diverse Factory Equipment","Automotive & Machinery","Maintenance Technicians' Work Order Texts, Equipment IDs","TF-IDF + XGBoost, DeBERTa","High (LLM Embeddings, Fine-Tuned Llama/Gemini)","High (RAG & Maintenance Copilot)","No","No","No","No","RAG Knowledge Base & Copilot","9.4","8.5","9.3","Fine-tune and benchmark LLM RAG pipelines for natural language maintenance query resolution."
